Twitter_ID,Twitter_User,Creation_Date,Follower_Count,Friend_Count,Post_Count,Liked_Count,List_Count,Language,is_protected,is_verified
9.96E+17,longdoo12,1526303521,16,186,2742,2919,0,en,0,0
9.96E+17,babu_ngs,1526303504,2,65,4,1,0,en,0,0
9.96E+17,kissCarmenK,1526303497,210,583,6,6,0,en,0,0
9.96E+17,YazminC74365889,1526303495,123,208,819,1476,0,en,0,0
9.96E+17,tata25_twt,1526303493,796,807,5990,3778,1,en,0,0
9.96E+17,Efrenantoniodi2,1526303489,0,21,1,0,0,en,0,0
9.96E+17,ca_milaborges12,1526303488,41,47,58,192,0,en,0,0
9.96E+17,PhmThCmT18,1526303484,107,241,7,51,0,en,0,0
9.96E+17,EnriquezPhia,1526303480,11,64,1,2,0,en,0,0
9.96E+17,KarenMo06514375,1526303478,99,204,890,1844,0,en,0,0
9.96E+17,john_gahamanyi,1526303467,0,30,1,0,0,en,0,0
9.96E+17,UmeshKu34397440,1526303457,0,0,1,0,0,en,0,0
9.96E+17,Ava_Sarahbellum,1526303451,46,313,1068,10515,0,en,0,0
9.96E+17,UJLWlCWwO7uBzMo,1526303438,9,366,40,225,0,en,0,0
9.96E+17,DeziKing1,1526303436,0,13,9,2,0,en,0,0
9.96E+17,Sam53841687,1526303434,2,32,98,1,0,en,0,0
9.96E+17,hiromuJanuary28,1526303428,60,68,22,107,0,en,0,0
9.96E+17,_Mica_09,1526303426,24,34,93,87,0,pt,0,0
9.96E+17,astklqe,1526303424,5,6,147,68,0,en,0,0
9.96E+17,Uxamabtt1,1526303423,4,91,12,170,0,en,0,0
9.96E+17,aJOqkJN3upWzaQQ,1526303420,313,434,173,358,0,en,0,0
9.96E+17,AmalAlsgir,1526303399,9,73,15,19,0,en,0,0
9.96E+17,SK_KR_26,1526303391,13,32,49,123,1,ja,0,0
9.96E+17,ocesca1,1526303390,8,164,50,32,0,es,0,0
9.96E+17,BasharatRehma11,1526303376,7,83,8,50,0,en,0,0
9.96E+17,JobOmbati9,1526303358,29,286,59,49,0,en,0,0
9.96E+17,MehmetArsln1903,1526303357,219,209,49,21,0,tr,0,0
9.96E+17,18DxYldkCpDNXla,1526303354,1,3,19,30,0,ja,0,0
9.96E+17,KhalidHyder4,1526303345,0,0,7,0,0,en,0,0
9.96E+17,LevyMoriya,1526303332,25,63,80,412,0,en,0,0
9.96E+17,VWcUofFpJisoXfx,1526303327,452,741,1075,586,0,ja,0,0
9.96E+17,SumitAg69146605,1526303312,5,34,113,276,0,en,0,0
9.96E+17,Yoongin70644639,1526303303,99,108,3526,6532,0,pt,0,0
9.96E+17,BB_Tatianaa,1526303297,11,7,40,81,0,en,0,0
9.96E+17,MichelleJennik4,1526303294,1,26,0,0,0,en,0,0
9.96E+17,iiethi,1526303293,1,5,9,4,0,en,0,0
9.96E+17,NatalieSAM95,1526303281,3,89,0,0,0,en,0,0
9.96E+17,mrforte5,1526303277,233,907,500,455,4,en,0,0
9.96E+17,53__xt,1526303265,250,580,163,28,0,en,0,0
9.96E+17,TeresaIMuhammad,1526303255,2,37,0,8,0,en,0,0
9.96E+17,Rafa11913653,1526303248,150,671,303,3007,0,es,0,0
9.96E+17,JerryToney6,1526303244,124,36,264,139,0,en,0,0
9.96E+17,KayBee_EC,1526303235,21,61,58,114,0,en,0,0
9.96E+17,Gissela53768485,1526303234,38,316,9,167,0,en,0,0
9.96E+17,Lizaa__1425,1526303223,0,13,2121,3542,0,id,0,0
9.96E+17,qvlci,1526303213,157,316,408,84,0,en,0,0
9.96E+17,qxari1,1526303211,377,57,41,10243,0,en,0,0
9.96E+17,acEY1t3drz4IGxw,1526303202,22,28,292,70,0,en,0,0
9.96E+17,69Mathison,1526303200,8,129,233,1384,0,en,0,0
9.96E+17,SeokJin80164896,1526303200,117,207,529,827,0,en,0,0
9.96E+17,PaulWHillyer,1526303191,4,110,0,16,0,en,0,0
9.96E+17,LAVA15434765,1526303190,43,226,256,345,0,en,0,0
9.96E+17,RJEZZ13,1526303184,80,103,1074,206,0,en,0,0
9.96E+17,mayoangelo13,1526303173,142,455,906,1739,0,en,0,0
9.96E+17,C95347635,1526303170,5,77,100,1,0,en,0,0
9.96E+17,Ji7OJ8mjr0kfqyP,1526303165,3,10,198,58,0,ar,0,0
9.96E+17,ootanisyouheime,1526303164,1003,1635,1349,428,0,ja,0,0
9.96E+17,_totocan_,1526303164,373,409,552,1395,1,ja,0,0
9.96E+17,bangnkookie,1526303160,60,240,162,81,0,es,0,0
9.96E+17,Natalia30148039,1526303155,1,48,23,32,0,en,0,0
9.96E+17,Ramveer28601509,1526303147,18,10,681,670,0,en,0,0
9.96E+17,LihleBaba,1526303146,2,121,0,1,0,en,0,0
9.96E+17,calsbasspick,1526303145,1765,4074,6158,12548,10,en,0,0
9.96E+17,HazzzYag,1526303143,130,335,29905,3417,0,en,0,0
9.96E+17,rosariiooo_,1526303135,35,144,58,42,0,es,0,0
9.96E+17,DucShoey,1526304917,8,132,33,142,0,en,0,0
9.96E+17,h_iiiiiiiikorea,1526304914,264,263,707,2724,4,en,0,0
9.96E+17,RamanathanC9,1526304900,0,9,1,53,0,en,0,0
9.96E+17,raghad97555463,1526304896,14,101,798,73,0,en,0,0
9.96E+17,Rise31Delray,1526304883,20,102,21,0,0,en,0,0
9.96E+17,shehabma37,1526304879,17,178,4,120,0,ar,0,0
9.96E+17,ritaj2x,1526304871,2,20,20,18,0,en,0,0
9.96E+17,Anna44224918,1526304869,414,1092,213,1066,0,en,0,0
9.96E+17,SameenArc,1526304858,15,128,22,68,0,en,0,0
9.96E+17,isicivicma,1526304849,165,4791,3818,38,0,tr,0,0
9.96E+17,nameless__13__,1526304849,516,122,2205,3123,22,en,0,0
9.96E+17,Krisana24593103,1526304840,2,27,0,0,0,en,0,0
9.96E+17,James24210712,1526304840,3,11,31,72,0,en,0,0
9.96E+17,1Mls0,1526304838,4274,49,27370,218,0,en,0,0
9.96E+17,mp_portugues,1526304831,11,0,428,0,1,pt,0,0
9.96E+17,fortnit71380061,1526304824,1,26,27,5,0,en,0,0
9.96E+17,bharatbbarot75,1526304824,358,2886,667,1776,0,en,0,0
9.96E+17,kindanero87,1526304816,150,270,431,0,0,ja,0,0
9.96E+17,mit54236440,1526304806,101,122,448,1500,0,en,0,0
9.96E+17,takyoy,1526304801,1,14,0,4,0,en,0,0
9.96E+17,sarakashmari,1526304798,242,562,294,1259,0,en,0,0
9.96E+17,lindyfernanda2,1526304795,110,187,1049,386,0,pt,0,0
9.96E+17,LOVE38509650,1526304791,3,23,93,64,0,en,0,0
9.96E+17,JimmySouza65,1526304780,49,52,1203,2956,0,en,0,0
9.96E+17,KattyValdez12,1526304776,35,87,257,307,0,es,0,0
9.96E+17,RTEXq5qCnMRLwcK,1526304774,2,157,0,0,0,ru,0,0
9.96E+17,shereno19,1526304774,145,146,324,719,0,ar,0,0
9.96E+17,Elkoseur,1526304769,222,343,471,1159,0,en,0,0
9.96E+17,latishachavez21,1526304763,0,22,0,0,0,en,0,0
9.96E+17,theOGjimkraham,1526304760,6,115,7,66,0,en,0,0
9.96E+17,aaron_tukomoi,1526304747,0,73,0,0,0,en,0,0
9.96E+17,DonavenMcculley,1526304745,127,109,3,15,0,en,0,0
9.96E+17,RangaCephas,1526304734,7,140,1,0,0,en,0,0
9.96E+17,StefannYeni,1526304727,11,53,72,1312,0,en,0,0
9.96E+17,JayaramMaduvai,1526304718,5,81,25,50,0,en,0,0
9.96E+17,irtazaa48938432,1526304715,1,51,1,2,0,en,0,0
9.96E+17,AllyRempillo,1526304714,64,65,1495,1096,0,en,0,0
9.96E+17,Sandeepkb311084,1526304713,26,613,8,20,0,en,0,0
9.96E+17,ruda_ruda11,1526304706,104,49,167,244,2,ja,0,0
9.96E+17,dondedormir_,1526304702,0,1,218,0,0,es,0,0
9.96E+17,Ztokinog,1526304702,243,508,41,24,1,ja,0,0
9.96E+17,RanaAmirKhan16,1526304700,4,37,7,25,0,en,0,0
9.96E+17,bts_ggukie,1526304683,1283,1233,353,252,0,en,0,0
9.96E+17,star_rojo,1526304682,3,59,26,995,0,en,0,0
9.96E+17,NaturalOudh,1526304680,2,5,16,0,0,en,0,0
9.96E+17,UFgoNTDN9RncRqy,1526304673,4,65,314,329,0,en,0,0
9.96E+17,Anamolinacarra6,1526304658,1,26,178,1021,0,en,0,0
9.96E+17,race_4_truth,1526304650,32,185,802,19,1,en,0,0
9.96E+17,RakhiRa21074511,1526304631,3,61,109,139,0,en,0,0
9.96E+17,lenindia,1526304616,2,117,38,123,0,en,0,0
9.96E+17,KarlaRo28466944,1526304614,84,110,1685,59,0,en,0,0
9.96E+17,ma8_y7,1526304610,73,143,422,32,0,en,0,0
9.96E+17,DClEXAIPg8V9kGF,1526304603,23,108,1266,5879,0,en,0,0
9.96E+17,rcr4624_richard,1526304590,2,76,35,2,0,en,0,0
9.96E+17,mkhr_oslv,1526304568,55,87,614,205,0,en,0,0
9.96E+17,suatsobaci,1526304564,135,339,1562,6876,0,tr,0,0
9.96E+17,Laonindaeyo,1526304563,131,164,579,433,0,ko,0,0
9.96E+17,kenwhoress,1526304562,25,67,247,303,0,en,0,0
9.96E+17,Lonely_DIKI,1526304558,283,108,1100,442,0,en,0,0
9.96E+17,MGMMeddis1,1526304552,14,104,0,81,0,en,0,0
9.96E+17,flower_of_flame,1526304547,22,53,229,315,0,ru,0,0
9.96E+17,TonySopranoWire,1526304545,70,230,2284,859,0,en,0,0
9.96E+17,RiaApriliana13,1526304542,0,14,1,4,0,en,0,0
9.96E+17,yoongear,1526304540,430,416,218,186,1,en,0,0
9.96E+17,Maini_Isabella,1526304535,56,185,188,83,0,en,0,0
9.96E+17,Chaimeesuk2,1526304526,0,59,0,0,0,th,0,0
9.96E+17,winkyAdeline,1526304521,71,199,310,144,0,en,0,0
9.96E+17,realmeeey,1526304520,19,34,278,24,0,en,0,0
9.96E+17,nagadi_mohamed,1526304515,7,39,96,83,0,ar,0,0
9.96E+17,EMTEESA6,1526304508,607,808,332,610,0,en,0,0
9.96E+17,isadahoraa,1526304508,721,758,251,192,0,pt,0,0
9.96E+17,2B1AG7,1526304492,2,17,124,8,0,en,0,0
9.96E+17,jeffersonCRF91,1526304489,18,117,449,216,0,pt,0,0
9.96E+17,rondo_rev,1526304488,21,32,263,141,0,en,0,0
9.96E+17,wot_18,1526304483,25,19,814,10,0,en,0,0
9.96E+17,cfcaskeyPhD,1526304477,47,75,50,150,1,en,0,0
9.96E+17,cailfizolof,1526304476,3255,2392,264,11659,0,tr,0,0
9.96E+17,ootanisyouheida,1526304475,648,1382,1001,9,0,ja,0,0
9.96E+17,TaylorR80509954,1526304474,11,41,34,14,0,en,0,0
9.96E+17,Aarond21521247,1526304470,23,194,286,469,0,es,0,0
9.96E+17,HolyTrippyHippy,1526304468,6,111,1,1,0,en,0,0
9.96E+17,rahaf2211000,1526304464,1802,2091,637,1852,0,ar,0,0
9.96E+17,iplacid1,1526304457,38,41,272,19,0,en,0,0
9.96E+17,nouf46484253,1526304452,21,119,24,185,0,en,0,0
9.96E+17,rotmat44,1526304445,3,14,150,101,0,en,0,0
9.96E+17,yogahub17,1526304443,2,10,233,0,0,es,0,0
9.96E+17,again_koreanluv,1526304414,22,271,18380,164,0,th,0,0
9.96E+17,ShareenForbes,1526304412,32,58,3,10,1,en-gb,0,0
9.96E+17,Ms_Taehyungg,1526304401,652,1144,3292,1335,1,en,0,0
9.96E+17,hmst2911,1526304395,30,46,167,53,0,en,0,0
9.96E+17,Ryukensei3,1526304390,5,82,92,2,0,en,0,0
9.96E+17,maddie45363219,1526304385,5,107,50,353,0,en,0,0
9.96E+17,NeilCombee,1526304382,1047,3104,187,195,4,en,0,0
9.96E+17,RosieNightinga2,1526304379,1,6,0,0,0,en,0,0
9.96E+17,FygzarFrizzy,1526304369,20,97,0,0,0,en,0,0
9.96E+17,Nwabisa68072439,1526304366,44,238,134,321,0,en,0,0
9.96E+17,yookihyun_22,1526304364,1,34,591,615,0,id,0,0
9.96E+17,Thay_silvaP,1526304362,48,96,81,116,0,pt,0,0
9.96E+17,m_1109c_0423,1526304352,732,755,313,134,2,en,0,0
9.96E+17,Mehmetz17217100,1526304352,16,21,259,658,0,en,0,0
9.96E+17,guushikokaito,1526304350,135,354,525,0,0,ja,0,0
9.96E+17,nachi_williams_,1526304345,0,35,4,1,0,en,0,0
